factory_code,factory_name,layout_name,canvas_width,canvas_length,area_code,area_name,area_x,area_y,area_width,area_length,area_type,line_code,line_name,line_type,takt_time_sec,capacity_per_shift,ws_code,ws_name,seq,ws_x,ws_y,ws_width,ws_length,max_operators,power_kw,from_ws,to_ws,distance,transport_type,transfer_time_sec,detail
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W1,W1,1,250,280,90,90,2,15.5,W1,W2,10,Conveyor,15,Station W1 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W2,W2,2,550,283,90,90,2,15.5,W2,W13,10,Conveyor,15,Station W2 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W3,W3,3,250,618,90,90,2,15.5,W3,,10,Conveyor,15,Station W3 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W4,W4,4,547,621,90,90,2,15.5,W4,,10,Conveyor,15,Station W4 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A01,SWP Area,100,100,1100,850,Production,L10,SWP Line,Straight,90,120,W5,W5,5,816,680,90,90,2,15.5,W5,,10,Conveyor,15,Station W5 in Stamping
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A04,Engine,1500,200,1400,750,Production,L40,Engine Line,Straight,90,120,W6,W6,1,1650,630,90,90,2,15.5,W6,W7,10,Conveyor,15,Station W22 in Engine
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A04,Engine,1500,200,1400,750,Production,L40,Engine Line,Straight,90,120,W7,W7,2,1870,630,90,90,2,15.5,W7,W8,10,Conveyor,15,Station W23 in Engine
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A05,Chassis,100,1100,1100,850,Production,L50,Chassis Line,Straight,90,120,W12,W12,1,250,1280,90,90,2,15.5,W12,W13,10,Conveyor,15,Station W29 in Chassis
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A05,Chassis,100,1100,1100,850,Production,L50,Chassis Line,Straight,90,120,W13,W13,2,250,1440,90,90,2,15.5,W13,W14,10,Conveyor,15,Station W30 in Chassis
PUNE-SUV-101,Pune Compact SUV Manufacturing Plant,Main Floor Layout V1,5000,3500,A05,Chassis,100,1100,1100,850,Production,L50,Chassis Line,Straight,90,120,W14,W14,3,250,1600,90,90,2,15.5,W14,W15,10,Conveyor,15,Station W31 in Chassis
